Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
ottawa moving companies,1,1,880,39,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,218,9.34,1515.00,0.86,38100000,"[5,10,8,10,35,16,24,16,13,13,13,16]",2026-02-03,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums",commercial,Local pack
moving companies ottawa,1,1,2400,45,9.63,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,196,8.39,1887.00,0.88,0,"[36,66,80,52,100,66,80,44,44,44,66,52]",2026-03-11,"Local pack, Sitelinks, Related searches",commercial,Local pack
first rate movers ottawa,1,1,170,18,3.58,https://www.firstratemovers.com/,136,5.82,486.00,0.71,723000,"[3,5,9,17,14,21,32,26,26,21,21,17]",2026-02-28,"Knowledge panel, Sitelinks, Related searches",navigational,Organic
first rate movers,1,1,170,32,2.62,https://www.firstratemovers.com/,136,5.82,356.00,0.37,63200000,"[29,35,35,35,29,43,35,43,35,43,43,43]",2026-01-19,"Knowledge panel, Sitelinks, Video, Image, Related searches",navigational,Organic
ottawa movers,1,1,1600,47,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,131,5.61,910.00,0.86,2450000,"[10,10,13,24,66,35,24,35,35,35,44,35]",2026-01-28,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
first rate movers inc,1,1,140,18,2.62,https://www.firstratemovers.com/,112,4.79,293.00,0.37,33400000,"[42,53,53,26,53,65,65,53,53,53,53,42]",2026-02-11,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
moving company ottawa,1,1,1000,52,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,82,3.51,569.00,0.86,79000000,"[13,16,24,30,24,30,30,54,79,100,41,54]",2026-01-21,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Local pack
movers in ottawa ontario,1,1,1000,49,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,82,3.51,569.00,0.86,544000,"[82,55,4,5,20,65,30,16,24,24,24,20]",2026-02-21,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Local pack
moving companies in ottawa canada,1,1,590,26,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,77,3.29,535.00,0.86,14000000,"[0,0,0,0,100,65,5,1,55,2,4,3]",2026-01-21,"Local pack, Sitelinks, People also ask, Related searches",commercial,Local pack
movers in ottawa,1,1,880,44,6.95,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,72,3.08,500.00,0.86,2550000,"[16,41,20,54,100,54,16,30,30,41,24,20]",2026-01-21,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Local pack
best moving companies ottawa,1,1,390,44,4.10,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,51,2.18,209.00,0.59,34000000,"[44,54,29,54,44,54,44,54,54,54,36,54]",2026-01-19,"Local pack, Sitelinks, People also ask, Related searches, Discussions and forums",commercial,Local pack
kanata movers,1,1,480,18,6.26,https://www.firstratemovers.com/?utm_source=GMB&utm_medium=organic&utm_campaign=gmb-website,39,1.67,244.00,0.78,303000,"[13,3,30,36,55,20,24,30,45,100,45,30]",2026-02-05,"Local pack, Image, People also ask, Related searches",commercial,Local pack
movers in ottawa,2,2,880,44,6.95,https://www.firstratemovers.com/,38,1.62,264.00,0.86,2550000,"[16,41,20,54,100,54,16,30,30,41,24,20]",2026-01-21,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
